ds,y
2022-08-05 15:00:00,318
2022-08-05 16:00:00,336
2022-08-05 17:00:00,162
2022-08-05 18:00:00,137
2022-08-05 19:00:00,102
2022-08-05 20:00:00,147
2022-08-05 21:00:00,202
2022-08-05 22:00:00,242
2022-08-05 23:00:00,204
2022-08-06 00:00:00,209
2022-08-06 01:00:00,230
2022-08-06 02:00:00,216
2022-08-06 03:00:00,206
2022-08-06 04:00:00,155
2022-08-06 05:00:00,62
2022-08-06 06:00:00,70
2022-08-06 07:00:00,39
2022-08-06 08:00:00,22
2022-08-06 09:00:00,23
2022-08-06 10:00:00,22
2022-08-06 11:00:00,64
2022-08-06 12:00:00,70
2022-08-06 13:00:00,147
2022-08-06 14:00:00,116
2022-08-06 15:00:00,168
2022-08-06 16:00:00,161
2022-08-06 17:00:00,237
2022-08-06 18:00:00,241
2022-08-06 19:00:00,204
2022-08-06 20:00:00,151
2022-08-06 21:00:00,124
2022-08-06 22:00:00,131
2022-08-06 23:00:00,265
2022-08-07 00:00:00,194
2022-08-07 01:00:00,189
2022-08-07 02:00:00,185
2022-08-07 03:00:00,103
2022-08-07 04:00:00,93
2022-08-07 05:00:00,71
2022-08-07 06:00:00,79
2022-08-07 07:00:00,95
2022-08-07 08:00:00,64
2022-08-07 09:00:00,50
2022-08-07 10:00:00,40
2022-08-07 11:00:00,27
2022-08-07 12:00:00,45
2022-08-07 13:00:00,98
2022-08-07 14:00:00,118
2022-08-07 15:00:00,142
2022-08-07 16:00:00,139
2022-08-07 17:00:00,215
2022-08-07 18:00:00,167
2022-08-07 19:00:00,140
2022-08-07 20:00:00,112
2022-08-07 21:00:00,204
2022-08-07 22:00:00,202
2022-08-07 23:00:00,247
2022-08-08 00:00:00,436
2022-08-08 01:00:00,329
2022-08-08 02:00:00,299
2022-08-08 03:00:00,236
2022-08-08 04:00:00,111
2022-08-08 05:00:00,69
2022-08-08 06:00:00,46
2022-08-08 07:00:00,20
2022-08-08 08:00:00,22
2022-08-08 09:00:00,26
2022-08-08 10:00:00,80
2022-08-08 11:00:00,123
2022-08-08 12:00:00,83
2022-08-08 13:00:00,118
2022-08-08 14:00:00,177
2022-08-08 15:00:00,219
2022-08-08 16:00:00,242
2022-08-08 17:00:00,207
2022-08-08 18:00:00,287
2022-08-08 19:00:00,267
2022-08-08 20:00:00,216
2022-08-08 21:00:00,219
2022-08-08 22:00:00,202
2022-08-08 23:00:00,332
2022-08-09 00:00:00,284
2022-08-09 01:00:00,272
2022-08-09 02:00:00,263
2022-08-09 03:00:00,255
2022-08-09 04:00:00,111
2022-08-09 05:00:00,60
2022-08-09 06:00:00,41
2022-08-09 07:00:00,19
2022-08-09 08:00:00,17
2022-08-09 09:00:00,32
2022-08-09 10:00:00,46
2022-08-09 11:00:00,81
2022-08-09 12:00:00,107
2022-08-09 13:00:00,119
2022-08-09 14:00:00,135
2022-08-09 15:00:00,164
2022-08-09 16:00:00,217
2022-08-09 17:00:00,160
2022-08-09 18:00:00,101
2022-08-09 19:00:00,97
2022-08-09 20:00:00,120
2022-08-09 21:00:00,135
2022-08-09 22:00:00,230
2022-08-09 23:00:00,251
2022-08-10 00:00:00,229
2022-08-10 01:00:00,213
2022-08-10 02:00:00,249
2022-08-10 03:00:00,218
2022-08-10 04:00:00,116
2022-08-10 05:00:00,42
2022-08-10 06:00:00,31
2022-08-10 07:00:00,21
2022-08-10 08:00:00,15
2022-08-10 09:00:00,28
2022-08-10 10:00:00,42
2022-08-10 11:00:00,73
2022-08-10 12:00:00,102
2022-08-10 13:00:00,118
2022-08-10 14:00:00,157
2022-08-10 15:00:00,162
2022-08-10 16:00:00,204
2022-08-10 17:00:00,149
2022-08-10 18:00:00,164
2022-08-10 19:00:00,126
2022-08-10 20:00:00,121
2022-08-10 21:00:00,164
2022-08-10 22:00:00,195
2022-08-10 23:00:00,196
2022-08-11 00:00:00,249
2022-08-11 01:00:00,199
2022-08-11 02:00:00,326
2022-08-11 03:00:00,261
2022-08-11 04:00:00,131
2022-08-11 05:00:00,108
2022-08-11 06:00:00,42
2022-08-11 07:00:00,19
2022-08-11 08:00:00,3
2022-08-11 09:00:00,18
2022-08-11 10:00:00,59
2022-08-11 11:00:00,72
2022-08-11 12:00:00,119
2022-08-11 13:00:00,135
2022-08-11 14:00:00,121
2022-08-11 15:00:00,147
2022-08-11 16:00:00,166
2022-08-11 17:00:00,135
2022-08-11 18:00:00,125
2022-08-11 19:00:00,103
2022-08-11 20:00:00,127
2022-08-11 21:00:00,168
2022-08-11 22:00:00,301
2022-08-11 23:00:00,321
2022-08-12 00:00:00,218
2022-08-12 01:00:00,243
2022-08-12 02:00:00,275
2022-08-12 03:00:00,212
2022-08-12 04:00:00,144
2022-08-12 05:00:00,60
2022-08-12 06:00:00,48
2022-08-12 07:00:00,50
2022-08-12 08:00:00,44
2022-08-12 09:00:00,35
2022-08-12 10:00:00,56
2022-08-12 11:00:00,60
2022-08-12 12:00:00,108
2022-08-12 13:00:00,5
